"QUAL","PERF","CSOR","ATTR","COMP","LIKE"
-0.714592,-0.212272,-0.794488,-0.99636,-0.370453,-1.563651
0.773316,1.149983,0.698934,1.11366,1.049526,1.030765
-0.831826,-0.820058,-0.910219,0.375907,-1.186611,0.364292
0.091462,-0.16144,0.273238,-0.104824,-0.321876,0.830977
1.199072,0.811187,0.005225,1.11366,0.222229,1.226186
-0.049075,0.650439,-0.520682,-0.383512,-1.216469,1.425974
0.660243,0.10791,1.187618,-0.43012,1.068245,-0.315281
-0.441208,0.48077,-0.890679,-0.383512,0.773761,-0.501969
1.587172,1.493149,1.749684,1.28074,0.751329,1.297662
1.166502,0.615237,0.121348,0.35424,0.225943,1.030765
0.821118,-0.526699,0.07465,-1.283912,-0.918271,-0.302181
-0.370026,-1.170047,-0.254833,-0.289139,-1.209043,0.292816
-1.216781,-1.231115,-0.923236,-0.833712,-1.492235,-0.844709
0.069098,1.992694,-0.231691,0.762266,1.023381,0.012818
-0.998141,0.891646,-0.290992,0.066688,0.426985,0.82661
-0.939623,-0.851431,-1.449143,-1.450992,-1.764287,-1.168442
0.443938,0.625181,-0.177786,-0.421255,1.049526,-0.569078
0.579619,0.680493,0.795521,0.35424,1.049526,1.230553
0.610189,0.128797,-0.95217,-1.095166,1.321579,0.759501
0.892864,-0.48258,0.521715,1.118092,0.475563,0.759501
-2.488655,-2.33276,-2.230046,-2.377492,-2.062485,-2.3016
1.615109,1.576671,2.096538,0.993187,1.619777,1.697238
0.397303,1.723705,1.814799,1.945786,1.321579,0.835344
-0.514767,-0.185449,-0.106174,-0.383512,-1.190324,-0.421759
-0.114898,-0.254478,0.005225,-0.54616,-0.072255,-0.102393
1.307599,0.64643,0.531501,1.757039,1.619777,1.297662
-0.53143,-0.89992,-0.129316,-0.383512,0.199797,-0.226338
0.108857,0.911827,0.172323,0.731734,0.497995,0.830977
-3.142906,-3.446914,-2.440196,-2.14657,-2.904788,-2.3016
0.252139,0.791187,-1.412984,-0.99636,0.475563,-0.182603
-0.928357,0.114373,-0.616895,0.285966,0.20351,-0.111127
0.347663,0.549799,0.192233,1.019287,0.751329,0.440135
0.879341,1.530805,2.207937,1.401212,1.049526,0.635556
-0.074559,0.145205,0.658816,1.083128,0.531567,0.511611
-1.891708,-1.639537,-0.715646,-1.283912,-1.764287,-0.573445
-1.509819,-1.770231,-0.794488,-0.99636,-1.764287,-0.69739
0.798854,0.980495,1.895804,1.662666,0.751329,-0.030917
-0.347464,-0.154617,0.022574,0.066688,-0.348021,0.56408
-1.117917,-1.37378,-0.566988,-1.095166,-1.741855,-0.297814
0.836041,0.208549,1.101862,1.757039,0.52414,-0.426126
1.191716,0.314874,-0.058431,0.894382,1.023381,1.297662
1.915472,0.34099,0.381047,-2.14657,1.619777,-0.087753
-0.247113,0.18418,-0.404559,-0.09596,0.20351,-0.217605
-1.390561,-0.593275,-0.890679,-0.99636,-0.944417,-1.910758
0.800311,0.811965,-0.20672,1.019287,0.747615,-0.297814
0.381873,0.037145,-0.776742,1.208033,-1.78672,-1.639494
0.19834,0.176578,0.758631,-0.09596,0.20351,-0.030917
0.402219,0.853213,0.718509,-0.79597,0.777474,-1.910758
-0.961821,-0.588905,-1.170276,-0.194765,-0.370453,-0.306548
0.050526,0.738329,-0.021541,1.019287,-0.072255,1.030765
0.831952,1.453578,1.047622,1.945786,1.045813,1.425974
0.249946,0.672892,-0.333674,-0.26304,-0.36674,0.364292
0.880055,0.156398,0.921037,0.924913,0.773761,0.635556
-1.179733,-0.800058,-0.636413,-0.671065,-0.966849,-1.439706
-1.31054,-0.203105,-0.436071,0.21326,-0.691083,-0.421759
-1.112397,-1.366179,-0.931192,-1.283912,-0.940704,-1.834915
1.915472,1.992694,2.32983,1.945786,1.619777,1.697238
-1.852035,-1.729344,-0.75616,-1.095166,-0.646219,-0.625914
0.00475,0.180948,1.385083,0.036156,0.751329,0.444501
1.915472,1.992694,1.976814,1.757039,1.619777,1.697238
-0.232579,0.642837,1.02558,-0.421255,0.426985,0.164504
1.698578,1.280677,2.394945,1.495586,1.347724,1.302029
-1.006564,-1.275484,-1.32981,-1.44656,0.177365,-1.910758
1.048658,0.296012,0.360431,0.538555,0.426985,0.416761
0.458061,0.168977,0.982529,0.281534,0.475563,-0.510702
0.873992,0.461739,1.088136,0.920481,1.321579,1.030765
0.291986,-0.192272,0.772379,-0.833712,0.475563,0.635556
-0.993165,0.479992,-1.316397,-0.258607,-0.392885,-1.834915
0.769796,0.029544,0.804937,1.181934,-0.072255,0.364292
0.584496,0.417967,0.265282,0.641793,1.023381,0.759501
0.00092,-0.127016,0.084066,-1.095166,-0.072255,-0.302181
-1.291991,-0.258848,-1.195247,-1.86345,-1.238901,-1.28802
-0.439696,-1.328884,-0.727208,0.345376,0.773761,-0.310914
-1.303914,-1.376234,-0.237461,-1.408817,-1.756861,0.097395
-0.193085,-1.500104,-0.511288,-1.095166,0.751329,-0.102393
0.642151,1.026891,0.705118,1.469487,1.071959,0.82661
-0.791843,-0.051523,-0.027333,-0.23694,-0.072255,-0.426126
-2.223917,-1.281947,0.309793,1.091993,-0.649932,-1.502449
-0.913516,-0.82652,-1.906333,-2.309218,-0.839835,-0.417393
-2.413128,-2.142314,-0.110507,-2.309218,-1.186611,-1.759072
-0.561287,-1.528843,-0.712022,-0.456219,-0.370453,-1.164075
0.736608,0.910688,0.803499,0.35424,0.497995,0.155771
-0.669675,-0.789225,-0.429887,-0.644966,-0.620074,-0.226338
-0.822258,-1.217828,0.562229,-0.26304,-0.620074,-0.302181
0.93687,0.642837,0.882318,-0.451786,0.773761,1.030765
1.055699,0.745931,1.545326,-1.031324,1.045813,1.49745
-0.590474,-1.37378,-0.423031,-0.06986,-1.216469,-1.164075
-0.422771,-0.088582,1.863247,-0.26304,0.475563,1.425974
0.352403,0.84657,1.340968,0.637361,1.075672,1.302029
-0.56175,-0.661763,-0.129316,-0.550592,-0.072255,-0.302181
0.695901,1.481179,1.414409,1.469487,1.049526,1.026398
0.736942,1.019289,1.265728,0.736166,0.475563,1.030765
-0.314113,0.073485,-0.574944,-1.382718,-0.094687,-0.02655
1.376293,1.149983,1.190119,1.56386,1.619777,1.697238
-0.578469,-0.154617,0.204499,-0.54616,-0.918271,0.559713
0.134671,0.453169,-0.458821,-0.164234,-0.072255,-0.973021
-0.509086,-0.330568,-0.11413,-0.074293,-0.649932,-0.69739
1.03953,0.086772,1.055578,1.370681,0.20351,1.302029
0.552063,-0.943331,0.518092,-1.283912,-0.344308,1.030765
1.334612,1.370484,1.475878,1.045386,1.321579,1.425974
0.043634,-0.047154,-1.609385,-1.283912,-0.120833,-1.363863
-0.667415,-1.310796,-0.645829,-0.387945,0.751329,0.830977
1.591075,1.600612,0.475432,1.945786,0.777474,1.15471
-1.910323,-1.459217,-1.699807,-2.309218,-2.03634,-2.3016
0.289554,0.449937,1.013627,1.019287,-0.075969,0.364292
-1.003762,-1.532075,-1.29146,-1.571465,-1.488522,-1.164075
-0.663376,-1.030614,-1.164484,-0.807613,-1.436231,0.631189
-0.458869,-0.531069,-0.217943,-0.100392,0.501708,0.164504
0.789407,1.257446,1.113815,1.212466,1.347724,1.697238
-0.112752,0.076717,-0.264248,0.191593,-0.646219,0.364292
0.452762,0.175801,-1.265426,-0.54616,1.619777,0.507244
0.596688,0.859676,-0.756869,0.641793,1.023381,0.164504
1.218467,1.415741,1.43755,1.56386,1.321579,0.954922
-1.250506,1.554036,-1.599596,0.641793,0.426985,-0.501969
0.627325,0.816335,0.255157,-0.383512,-0.933277,-1.216544
1.640218,1.985093,1.934132,1.945786,1.619777,1.697238
0.039911,-0.913096,0.513782,0.38034,-0.646219,0.555346
-1.146658,-0.032132,-0.73625,-0.671065,-1.216469,-1.487808
0.042066,-0.280163,-0.398789,0.611261,-0.344308,-1.216544
1.752736,1.653898,1.963066,1.401212,1.619777,1.49745
1.62195,1.231762,-0.712751,1.662666,1.619777,0.412394
0.671509,0.073485,1.046185,0.80444,-0.344308,0.635556
0.599892,1.149983,1.595233,1.11366,0.773761,1.030765
-0.997048,-0.216642,0.252265,-1.927292,0.181078,0.954922
1.012196,0.041515,1.385083,0.993187,0.747615,0.364292
-1.994791,-2.004019,-0.254833,-1.095166,-1.484808,-0.973021
0.783135,-0.553522,0.068858,0.066688,0.20351,0.088661
-1.681634,-0.150247,-0.777116,-1.571465,-1.488522,-1.359496
-1.222453,-0.16581,-0.778179,-0.220865,-0.374166,0.639923
-1.153178,-0.154617,-0.923236,-0.708807,-0.120833,-1.563651
-1.160207,-0.666132,-0.520682,-1.121265,-1.764287,-0.968654
-0.115119,1.792193,1.522184,1.212466,0.751329,0.830977
0.235721,0.888595,1.385083,0.444181,0.497995,0.830977
-1.095505,-0.58627,-0.501873,-0.99636,-0.620074,-1.292387
-0.08018,0.632005,0.064548,0.929345,0.173652,0.626822
-1.268624,-1.500104,-1.004637,-2.14657,-0.914558,-0.235072
1.292222,0.742699,1.049808,-0.06986,1.321579,1.697238
0.620902,0.538606,0.186441,-1.609208,1.045813,0.639923
1.915472,1.600612,1.986599,1.379546,1.619777,1.49745
-1.397803,-1.170047,-1.1182,-0.901986,-1.216469,-0.69739
1.324434,1.064546,0.982529,1.091993,1.071959,1.49745
0.638655,1.060177,-0.152458,0.191593,0.173652,-0.892811
0.534279,0.580631,0.548481,0.191593,0.475563,0.56408
-0.828589,-0.166588,0.289546,-1.24617,0.773761,-1.487808
0.474781,-0.882264,-1.085643,-0.456219,-2.040053,-0.169503
-0.698304,-0.8482,-0.630621,-0.99636,-0.344308,-0.564712
0.669183,0.700065,0.24214,0.573519,1.023381,1.697238
0.433066,-0.053977,0.54342,0.641793,0.225943,0.168871
-1.06462,-0.319916,-1.083479,-1.764644,0.154933,-0.182603
0.38216,-0.127016,0.48918,0.569086,-0.075969,0.364292
0.155303,0.018284,1.470108,0.088355,0.20351,0.168871
1.915472,1.992694,2.394945,1.945786,1.344011,1.501817
0.752783,0.36834,0.582139,-0.220865,0.475563,0.56408
0.991997,1.139151,1.217985,1.306839,1.321579,1.026398
0.348915,0.37708,1.171701,-1.571465,0.252088,-0.226338
0.346119,0.708275,0.828079,-0.357413,-0.344308,-0.030917
0.996637,0.872255,-0.168035,0.191593,0.751329,1.026398
0.125739,0.246386,-0.91528,1.11366,1.049526,0.635556
-0.627385,-0.566271,-0.873329,-1.121265,-0.646219,-0.02655
0.334391,-0.465631,0.982529,0.569086,0.773761,-0.02655
1.610443,0.791187,1.40643,1.208033,1.071959,1.030765
-0.209598,-0.020691,0.410316,0.641793,-0.068542,0.359925
-0.606187,-0.619737,0.492782,-0.326881,-0.374166,-0.378024
-1.178081,0.607635,-0.896471,-0.54616,-0.072255,-0.497602
-1.334039,-1.030614,-0.241815,-0.001586,-0.072255,-0.373657
0.94426,0.980856,1.358318,1.469487,1.071959,1.15471
1.239316,0.915058,1.566299,0.281534,0.747615,0.954922
0.24615,0.045884,0.795521,0.444181,-0.075969,0.364292
0.599215,0.207411,0.28626,0.285966,0.773761,0.364292
-0.120652,0.896197,0.286629,0.470281,1.049526,0.088661
-0.20766,-0.161079,-1.198479,-1.734113,1.321579,0.069654
-0.008402,-0.162218,0.48918,-0.09596,-0.068542,-0.302181
0.579726,0.345706,-0.009961,0.161061,0.20351,0.440135
-0.817528,0.284041,-0.53443,-0.293571,-0.668651,-0.497602
-0.0214,-0.115642,-0.794488,-1.283912,0.725183,0.212606
0.99724,1.01492,1.335176,-0.258607,-0.049823,0.435768
0.084032,-0.45498,-0.563364,-0.006019,-0.649932,-0.306548
-0.033511,-0.062356,-0.616873,0.18716,-0.620074,1.226186
-0.621605,-1.135623,-1.206435,-1.121265,-1.216469,-1.759072
1.44882,0.688094,0.22479,-0.54616,-0.36674,0.635556
0.870584,1.661499,0.773502,0.641793,0.154933,0.631189
-1.313766,-1.012958,-0.890701,-0.258607,-0.389172,0.368659
-0.420643,-0.092411,-0.584338,-0.357413,-0.370453,-0.968654
-0.194775,-0.654162,0.31592,0.637361,-0.646219,-0.102393
0.456948,0.253987,-0.902263,-0.09596,-0.649932,-0.221972
-1.895302,-1.91535,-0.848727,-0.54616,-2.088631,-0.768866
0.121298,0.818788,0.730428,0.35424,0.475563,0.288449
0.814062,1.222841,-0.118106,1.375113,1.321579,0.763867
-1.337507,-1.286316,-0.426263,-1.189539,-0.623787,-0.173869
-0.155605,-0.334937,0.288424,-0.258607,-0.620074,0.368659
-0.00085,0.479034,-0.873329,0.479145,-0.098401,-1.021123
-0.442914,-0.455757,0.378453,0.066688,0.20351,0.364292
-0.692135,-0.029608,-1.380426,-0.331314,-1.537099,0.364292
-0.324285,-0.592136,0.069276,-0.54616,-0.445176,0.359925
-0.654755,-2.387962,0.029489,-1.042967,0.773761,0.635556
0.410064,-0.158986,-0.634245,1.495586,0.177365,-0.421759
-1.639553,-0.884109,-0.443278,-2.287551,-1.790433,-0.658021
0.325953,0.940923,0.097814,0.606829,0.501708,1.030765
0.860223,0.111141,0.758653,1.11366,-0.098401,0.639923
0.736942,1.01492,1.055578,1.56386,0.773761,0.759501
0.458135,0.549799,0.874362,-0.09596,0.20351,0.559713
-0.483368,0.041515,-0.268581,-0.54616,-1.186611,-0.501969
1.32224,0.715695,0.749237,0.066688,0.777474,0.83971
0.123982,0.588233,0.028367,-0.09596,0.177365,-0.306548
0.373261,0.765569,-0.584338,1.945786,-0.11712,1.697238
1.752736,1.792193,0.544857,1.658233,1.049526,1.697238
-0.347579,0.307272,0.392967,-0.357413,-0.094687,-1.092599
0.936944,0.896197,1.428135,0.444181,-0.042397,1.030765
1.492438,0.515375,0.823746,1.379546,1.344011,1.425974
0.33769,0.180948,0.539087,0.024513,0.773761,-0.306548
0.14813,0.688094,0.2848,0.38034,0.177365,-0.773233
0.229176,-0.459946,-0.511266,0.569086,0.725183,-0.235072
-0.989758,-0.470609,0.094582,-0.99636,-1.46609,-0.688657
-1.044395,-1.070185,-1.077687,-1.121265,-1.764287,-1.639494
0.456948,0.307272,0.090227,-0.09596,0.47185,1.15471
0.0506,0.221835,-0.296784,0.474713,-0.374166,0.759501
-0.60529,0.086772,-0.798089,1.401212,-0.068542,0.631189
1.072019,0.932604,0.171629,1.757039,1.344011,1.697238
-0.722659,-0.212453,-2.417054,-0.54616,0.725183,-0.816968
-1.817825,-1.921106,-0.538032,-0.833712,-1.514667,-1.635127
-0.120336,0.664863,-1.682435,0.191593,0.725183,-0.901545
-1.664103,0.022473,-1.584784,-0.675497,-0.392885,-0.968654
1.107881,1.23979,1.655265,1.379546,1.071959,1.697238
-0.259378,-0.427976,0.232724,-0.550592,-1.216469,-0.501969
0.202672,-1.230573,-1.344974,-1.24617,0.199797,-0.688657
-0.959286,-0.879032,-0.553262,-0.383512,-0.668651,-0.297814
0.449129,1.408918,0.475432,0.595186,1.619777,1.697238
0.279393,-0.187903,0.614696,0.191593,-0.36674,-0.035284
1.821248,0.811965,1.66651,1.401212,1.321579,1.697238
1.713451,1.339224,1.761263,1.379546,1.619777,-1.502449
0.815633,0.538539,-0.231691,1.11366,1.321579,-0.426126
0.364406,0.715695,1.07295,0.920481,-0.642506,-0.573445
-1.729973,-1.393779,0.051508,-1.738545,-2.334538,-0.773233
-1.462017,-1.777833,-1.754046,-2.214844,-2.062485,-1.635127
0.736942,1.149983,1.870476,0.569086,0.475563,0.364292
0.433644,1.180816,-0.599523,0.637361,0.505421,0.635556
1.631178,1.315879,0.334707,0.80444,0.773761,1.49745
1.151472,0.83933,0.13291,0.667892,1.321579,-0.745492
0.19665,-0.712775,1.619835,0.516888,1.023381,-1.563651
-1.334778,-1.042585,-2.180138,0.066688,-2.35697,-1.559284
0.732202,1.20782,1.055578,1.11366,0.747615,1.106608
0.300569,0.988457,-0.000567,0.641793,0.453131,0.24908
-0.303384,-0.603927,0.749237,-0.456219,-1.220182,-0.030917
0.36766,1.184408,-1.289631,-0.54616,1.023381,1.425974
-2.550145,-2.101427,-0.823421,-1.931724,-2.610303,-1.635127
0.187357,-0.073616,-0.468215,1.091993,1.321579,-0.488869
0.051816,-0.758032,-0.543824,0.307633,0.177365,0.012818
1.287053,0.856625,-0.862475,-0.671065,-0.299443,0.639923
0.060102,-0.666132,-0.545619,-0.383512,-0.918271,-0.434859
-0.682867,-0.165877,0.4722,0.35424,-0.374166,1.15471
-0.008402,-0.755939,-0.063492,-0.001586,-0.370453,0.168871
0.615767,0.238784,-0.628457,-0.671065,0.79248,0.48387
-1.160736,-0.151385,-0.412538,-0.357413,-1.194037,0.364292
-0.412897,-0.38595,-1.002078,-0.54616,-0.918271,-0.69739
1.250987,0.435513,0.828079,0.83054,0.426985,0.835344
0.279868,0.33253,-0.041059,-0.550592,0.725183,1.697238
1.310477,0.595056,1.302618,-0.168666,0.751329,1.030765
